YAM,Sault Sainte Marie
MKO,Muskogee
INL,International Falls
SLC,Salt Lake City
CDS,Childress
BIX,Biloxi
LSF,Fort Benning
NQI,Kingsville
FRI,Fort Riley
MDT,Harrisburg
LNK,Lincoln
LAN,Lansing
MUE,Kamuela
MSS,Massena
HKY,Hickory
SPG,St. Petersburg
FMY,Fort Myers
IAH,Houston
MLT,Millinocket
ADW,Camp Springs
INT,Winston-salem
VCV,Victorville
CEW,Crestview
GTB,Fort Drum
PHN,Port Huron
BFL,Bakersfield
ELP,El Paso
HRL,Harlingen
CAE,Columbia
DMA,Tucson
NPA,Pensacola
PNS,Pensacola
RDR,Red River
HOU,Houston
BKF,Buckley
ORT,Northway
PAQ,Palmer
PIT,Pittsburgh
BRW,Barrow
EFD,Houston
NUW,Whidbey Island
ALI,Alice
VAD,Valdosta
MIA,Miami
SEA,Seattle
CHA,Chattanooga
BDR,Stratford
JAN,Jackson
GLS,Galveston
LGB,Long Beach
HDH,Dillingham
IPT,Williamsport
IND,Indianapolis
SZL,Knobnoster
AKC,Akron
GWO,Greenwood
HPN,White Plains
FOK,West Hampton Beach
JBR,Jonesboro
TNX,Tonopah
LNA,West Palm Beach
NZY,San Diego
BIF,El Paso
YUM,Yuma
CNM,Carlsbad
DLH,Duluth
BET,Bethel
LOU,Louisville
FHU,Fort Huachuca
LIH,Lihue
HUF,Terre Haute
HVR,Havre
MWH,Grant County Airport
MPV,Montpelier
RIC,Richmond
SHV,Shreveport
CDV,Cordova
ORF,Norfolk
BPT,Beaumont
SAV,Savannah
HIF,Ogden
OME,Nome
SPB,San Luis
PIE,St. Petersburg
MNM,Macon
CXO,Conroe
SCC,Deadhorse
SAT,San Antonio
ROC,Rochester
COF,Coco Beach
TEB,Teterboro
RCA,Rapid City
RDU,Raleigh-Durham
DAY,Dayton
ENA,Kenai
MLC,Mcalester
IAG,Niagara Falls
CFD,Bryan
PHF,Newport News
ESF,Alexandria
LTS,Altus
TUS,Tucson
MIB,Minot
BAB,Marysville
IKK,Kankakee
GSB,Goldsboro
PVD,Providence
SBY,Salisbury
RIU,Rancho Murieta
BUR,Burbank
DTW,Detroit
TPA,Tampa
PMB,Pembina
POE,Fort Polk
EIL,Fairbanks
HIB,Hibbing
LFK,Lufkin
MAF,Midland
GRB,Green Bay
ADM,Ardmore
WRI,Wrightstown
NKT,Cherry Point
SBO,Santa Barbara
AGS,Bush Field
ISN,Williston
LIT,Little Rock
SWF,Newburgh
BDE,Baudette
SAC,Sacramento
HOM,Homer
TBN,Fort Leonardwood
MGE,Marietta
SKA,Spokane
HTL,Houghton Lake
PAM,Panama City
DFW,Dallas-Fort Worth
MLB,Melbourne
TCM,Tacoma
AUS,Austin
LCK,Columbus
TYS,Knoxville
HLR,Fort Hood
STL,St. Louis
MIV,Millville
SPS,Wichita Falls
LUK,Cincinnati
ATL,Atlanta
MER,Merced
MCC,Sacramento
GRR,Grand Rapids
INK,Wink
FAT,Fresno
VRB,Vero Beach
IPL,Imperial
BNA,Nashville
LRD,Laredo
EDF,Anchorage
OTZ,Kotzebue
AOO,Altoona
DYS,Abilene
ELD,El Dorado
LGA,New York
TLH,Tallahassee
DPA,West Chicago
ACT,Waco
AUG,Augusta
INJ,Hillsboro
NIP,Jacksonville
MKL,Jackson
MKK,Molokai
FTK,Fort Knox
SJT,San Angelo
CXL,Calexico
CIC,Chico
BTV,Burlington
JAX,Jacksonville
DRO,Durango
IAD,Washington
CLL,College Station
SFF,Spokane
MKE,Milwaukee
ABI,Abilene
COU,Columbia
PDX,Portland
TNT,Miami
PBI,West Palm Beach
FTW,Fort Worth
OGS,Ogdensburg
FMH,Falmouth
BFI,Seattle
SKF,San Antonio
HNL,Honolulu
DSM,Des Moines
EWN,New Bern
SAN,San Diego
MLU,Monroe
SSC,Sumter
ONT,Ontario
GVT,Greenvile
ROW,Roswell
DET,Detroit
BRO,Brownsville
DHN,Dothan
WWD,Wildwood
NFL,Fallon
MTC,Mount Clemens
FMN,Farmington
CRP,Corpus Christi
SYR,Syracuse
NQX,Key West
MDW,Chicago
SJC,San Jose
HOB,Hobbs
PNE,Philadelphia
DEN,Denver
PHL,Philadelphia
SUX,Sioux City
MCN,Macon
TCS,Truth Or Consequences
PMD,Palmdale
RND,San Antonio
NJK,El Centro
CMH,Columbus
FYV,Fayetteville
FSI,Fort Sill
PNM,Princeton
FFO,Dayton
GAL,Galena
MWL,Mineral Wells
IAB,Wichita
NBG,New Orleans
BFT,Beaufort
TXK,Texarkana
PBG,Plattsburgh
APG,Aberdeen
TCC,Tucumcari
ANC,Anchorage
GRK,Killeen
ZUN,Zuni Pueblo
BLI,Bellingham
NQA,Millington
EKN,Elkins
HFD,Hartford
SFZ,Smithfield
MOB,Mobile
NUQ,Mountain View
SAF,Santa Fe
BKH,Barking Sands
DRI,Deridder
BSF,Bradshaw Field
OLS,Nogales
MCF,Tampa
BLV,Belleville
OPF,Miami
DRT,Del Rio
RSW,Fort Myers
AKN,King Salmon
MUI,Muir
JHM,Lahania-kapalua
JFK,New York
HST,Homestead
RAL,Riverside
FLV,Fort Leavenworth
WAL,Wallops Island
HMN,Alamogordo
NXX,Willow Grove
CYS,Cheyenne
SCK,Stockton
CHS,Charleston
RNO,Reno
KTN,Ketchikan
YIP,Detroit
VBG,Lompoc
BHM,Birmingham
NEL,Lakehurst
SYA,Shemya
LSV,Las Vegas
RIV,Riverside
MOD,Modesto
SMF,Sacramento
UGN,Chicago
COS,Colorado Springs
BUF,Buffalo
SKY,Sandusky
PAE,Everett
MUO,Mountain Home
CDC,Cedar City
BDL,Windsor Locks
MFE,Mcallen
NGU,Norfolk
CEF,Chicopee Falls
LBB,Lubbock
ORD,Chicago
BCT,Boca Raton
FAI,Fairbanks
NYG,Quantico
CVS,Clovis
NGF,Kaneohe Bay
OFF,Omaha
GKN,Gulkana
ART,Watertown
PSP,Palm Springs
AMA,Amarillo
FOD,Fort Dodge
BAD,Shreveport
FOE,Topeka
COT,Cotulla
ILM,Wilmington
BTR,Baton Rouge
NMM,Meridian
TYR,Tyler
BWI,Baltimore
HBR,Hobart
LNY,Lanai
AEX,Alexandria
WSD,White Sands
CDB,Cold Bay
TUL,Tulsa
SIT,Sitka
ISP,Islip
MSP,Minneapolis
ILG,Wilmington
DUT,Unalaska
MSY,New Orleans
PWM,Portland
OKC,Oklahoma City
ALB,Albany
VDZ,Valdez
LFI,Hampton
SNA,Santa Ana
CBM,Colombus
TMB,Kendall-tamiami
NTU,Oceana
GUS,Peru
CPR,Casper
VPS,Valparaiso
SEM,Selma
EYW,Key West
CLT,Charlotte
LAS,Las Vegas
MCO,Orlando
FLO,Florence
GTF,Great Falls
YNG,Youngstown
FBK,Fort Wainwright
MMV,Mackminnville
WRB,Macon
PUW,Pullman
LWS,Lewiston
ELM,Elmira
ITH,Ithaca
MRY,Monterey
SBA,Santa Barbara
DAB,Daytona Beach
JRB,New York
TKA,Talkeetna
HVN,New Haven
AVL,Asheville
GSO,Greensboro
FSD,Sioux Falls
MHT,Manchester NH
APF,Naples
SDF,Louisville
CHO,Charlottesville VA
ROA,Roanoke VA
LEX,Lexington KY
EVV,Evansville
ABQ,Albuquerque
BZN,Bozeman
BIL,Billings
BTM,Butte
TVC,Traverse City
BHB,Bar Harbor
RKD,Rockland
JAC,Jacksn Hole
RFD,Rockford
TSS,New York
GSP,Greenville
BMI,Bloomington
GPT,Gulfport
AZO,Kalamazoo
TOL,Toledo
FWA,Fort Wayne
DEC,Decatur
CID,Cedar Rapids
LSE,La Crosse
CWA,Wassau
PIA,Peoria
ATW,Appleton
RST,Rochester
CMI,Champaign
MHK,Manhattan
FKL,Franklin
GJT,Grand Junction
SGU,Saint George
DWH,Houston
S46,Port O\'Connor
SRQ,Sarasota
VNY,Van Nuys
X21,Titusville
MLI,Moline
PFN,Panama City
DWS,Orlando
BIS,Bismarck
TEX,Telluride
RAP,Rapid City
CLD,Carlsbad
FNT,Flint
YOA,Ekati
RDD,Redding
EUG,Eugene
IDA,Idaho Falls
MFR,Medford
RDM,Redmond-Bend
YWH,Victoria
CXH,Vancouver
CAK,Akron
HSV,Huntsville
PKB,Parkersburg
MGM,Montgomery
TRI,Bristol
PAH,Paducah
FCA,Kalispell
PGA,Page
MBS,Saginaw
BGM,Binghamton
BLH,Blythe
PSG,Petersburg
SFB,Sanford
JST,Johnstown
MSO,Missoula
GCN,Grand Canyon
SGR,Sugar Land
APA,Denver
CVN,Clovis
FST,Fort Stockton
LVS,Las Vegas
IWS,Houston
LHX,La Junta
LRU,Las Cruces
BKD,Breckenridge
TPL,Temple
OZA,Ozona
WKL,Waikoloa Village
LAK,Aklavik
YWJ,Deline
ZFN,Tulita
YGH,Fort Good Hope
YPC,Paulatuk
EGE,Vail
CGF,Richmond Heights
MFD,Mansfield
CSG,Columbus
LAW,Lawton
FNL,Fort Collins
FLG,Flagstaff
TVL,South Lake Tahoe
TWF,Twin Falls
MVY,Vineyard Haven MA
UUU,Newport RI
VSF,Springfield VT
CON,Concord NH
SFM,Sanford ME
GON,Groton CT
STC,Saint Cloud
GTR,Columbus Mississippi
HQM,Hoquiam
ERI,Erie
HYA,Barnstable
SDX,Sedona
MGW,Morgantown
CRW,Charleston
AVP,Scranton
BJI,Bemidji
FAR,Fargo
MKC,Kansas City
AZA,Mesa
GCC,Gillette
NZJ,Santa Ana
ECA,East Tawas
SCE,State College Pennsylvania
MEI,Meridian
SPI,Springfield
CEZ,Cortez
HDN,Hayden
GUP,Gallup
LBL,Liberal
LAA,Lamar
GLD,Goodland
COD,Cody
SGF,Springfield
JLN,Joplin
ABE,Allentown
XNA,Bentonville
